Date,Region,Item,Total,
Jan,Quebec,Pencil,189.05,#
Jan,Toronto,Binder,999.5,#
Feb,Ontario,Pencil,179.64,#
Feb,Ontario,Pen,539.73,#
Mar,Alberta,Pencil,167.44,#
Apr,Quebec,Binder,299.4,#
Apr,Ontario,Pencil,149.25,#
May,Ontario,Pencil,449.1,#
May,Alberta,Pencil,63.68,#
Jun,Quebec,Binder,539.4,#
Jun,Ontario,Pencil,449.1,#
Jul,Quebec,Binder,57.71,#
Jul,Quebec,Binder,1619.19,#
Aug,Quebec,Pencil,174.65,#
Sep,Ontario,Desk,250,#
Sep,Quebec,Pen Set,255.84,#
Oct,Ontario,Binder,251.72,#
Oct,Toronto,Pen,575.36,#
Nov,Quebec,Pen,299.85,#
Nov,Ontario,Pen Set,479.04,#
Dec,Ontario,Pencil,86.43,#
Dec,Quebec,Pen Set,1183.26,#
Jan,Ontario,Binder,413.54,#
Feb,Ontario,Binder,1305,#
Feb,Quebec,Binder,19.96,#
Mar,Alberta,Binder,139.93,#
Mar,Toronto,Pen Set,249.5,#
Apr,Ontario,Pencil,131.34,#
Apr,Quebec,Pen,479.04,#
May,Ontario,Pencil,68.37,#
May,Ontario,Binder,719.2,#
Jun,Ontario,Desk,625,#
Jul,Quebec,Pen Set,309.38,#
Jul,Ontario,Pen Set,686.95,#
Aug,Toronto,Pen Set,1005.9,#
Aug,Alberta,Desk,825,#
Sep,Ontario,Pencil,9.03,#
Sep,Alberta,Pen,151.24,#
Oct,Alberta,Binder,1139.43,#
Oct,Ontario,Pencil,18.06,#
Nov,Ontario,Binder,54.89,#
Dec,Ontario,Binder,1879.06,#
Dec,Toronto,Binder,139.72
